x,f(x),lagrange,spline,err_lagrange,err_spline
0.737,-0.721723041514826,-0.722085703358055,-0.721722779283957,0.000362661843228196,2.62230869796376e-07
0.7419,-0.709593629572832,-0.709575175466245,-0.709593023768334,1.84541065875177e-05,6.05804498232665e-07
0.7468,-0.697596637719087,-0.698049156471877,-0.697595747418313,0.000452518752790065,8.90300774214481e-07
0.7517,-0.685729724708201,-0.686110334107053,-0.685728704773012,0.000380609398851539,1.01993518875076e-06
0.7566,-0.673990608094036,-0.67427437128888,-0.673989650371553,0.000283763194844022,9.57722483430068e-07
0.7615,-0.662377062335156,-0.662726969244153,-0.662376338753053,0.000349906908996944,7.23582102790665e-07
0.7664,-0.650886916973521,-0.650997884144489,-0.650886524456634,0.000110967170968368,3.92516887104399e-07
0.7713,-0.639518054883147,-0.639552972871586,-0.639517962021413,3.49179884389095e-05,9.28617345241634e-08
0.7762,-0.628268410585637,-0.628251048757886,-0.628268410277288,1.73618277509169e-05,3.08348901967292e-10
0.7811,-0.617135968629611,-0.617125459892636,-0.617135810288216,1.05087369752788e-05,1.58341395217754e-07
0.786,-0.606118762031258,-0.606050357029153,-0.606118349181351,6.8405002105143e-05,4.12849906816781e-07
0.7909,-0.595214870773326,-0.595092171675617,-0.595214231502423,0.000122699097709456,6.39270903546318e-07
0.7958,-0.58442242036003,-0.584359650536005,-0.584421661797158,6.27698240249774e-05,7.58562871516766e-07
0.8007,-0.573739580425458,-0.573691495014587,-0.573738844611285,4.80854108703133e-05,7.35814172148075e-07
